Timestamp,Active Lane,Vehicle Count,Allocated Green Duration (s)
2026-08-19 12:15:17,West,6,23
2026-08-19 12:15:40,North,28,35
2026-08-19 12:16:15,South,20,31
2026-08-19 12:16:46,East,19,30
2026-08-19 12:17:16,West,6,23
2026-08-19 12:17:39,North,28,35
2026-08-19 12:18:14,South,20,31
2026-08-19 12:18:45,East,19,30
2026-08-19 12:19:15,West,6,23
2026-08-19 12:19:38,North,28,35
2026-08-19 12:20:13,South,20,31
2026-08-19 12:20:44,East,19,30
2026-08-19 12:21:14,West,6,23
2026-08-19 12:21:37,North,28,35
2026-08-19 12:22:12,South,20,31
2026-08-19 12:22:43,East,19,30
2026-08-19 12:23:13,West,6,23
2026-08-19 12:23:36,North,28,35
2026-08-19 12:24:11,South,20,31
2026-08-19 12:24:42,East,19,30
2026-08-19 12:25:12,West,6,23
2026-08-19 12:25:35,North,28,35
2026-08-19 12:26:11,South,20,31
2026-08-19 12:26:42,East,19,30
2026-08-19 12:27:12,West,6,23
2026-08-19 12:27:35,North,28,35
2026-08-19 12:28:10,South,20,31
2026-08-19 12:28:41,East,19,30
2026-08-19 12:29:11,West,6,23
2026-08-19 12:35:48,North,28,35
2026-08-19 12:36:23,South,20,31
2026-08-19 12:36:54,East,19,30
2026-08-19 12:37:24,West,6,23
2026-08-19 12:37:47,North,28,35
2026-08-19 12:38:22,South,20,31
2026-08-22 15:13:55,North,0,10.0
2026-08-22 15:14:07,East,0,10.1
2026-08-22 15:14:19,South,0,10.0
2026-08-22 15:14:32,West,1,10.5
2026-08-22 15:14:46,North,5,12.5
2026-08-22 15:15:01,East,5,12.5
2026-08-22 15:15:14,South,3,11.5
2026-08-22 15:15:27,West,2,11.1
2026-08-22 15:15:41,North,4,12.0
2026-08-22 15:15:57,East,8,14.0
2026-08-22 15:16:12,South,4,12.0
2026-08-22 15:16:24,West,1,10.5
2026-08-22 15:16:39,North,6,13.0
2026-08-22 15:16:54,East,6,13.0
2026-08-22 15:17:08,South,3,11.5
2026-08-22 15:17:20,West,1,10.5
2026-08-22 15:17:34,North,4,12.0
2026-08-22 15:17:49,East,5,12.5
2026-08-22 15:18:03,South,4,12.0
2026-08-22 15:18:15,West,1,10.5
2026-08-22 15:18:30,North,5,12.5
2026-08-22 15:18:46,East,8,14.0
2026-08-22 15:19:00,South,4,12.0
2026-08-22 15:19:13,West,2,11.0
2026-08-22 15:19:27,North,4,12.0
2026-08-22 15:19:42,East,5,12.5
2026-08-22 15:19:57,South,6,13.0
2026-08-22 15:20:09,West,1,10.5
2026-08-22 15:20:24,North,5,12.5
2026-08-22 15:20:39,East,6,13.0
2026-08-22 15:20:54,South,5,12.5
2026-08-22 15:21:06,West,1,10.5
2026-08-22 15:29:03,North,0,10.0
2026-08-22 15:29:15,East,0,10.1
2026-08-22 15:29:27,South,0,10.0
2026-08-22 15:29:39,West,0,10.0
2026-08-22 15:29:54,North,5,12.5
2026-08-22 15:30:09,East,6,13.0
2026-08-22 15:30:23,South,4,12.0
2026-08-22 15:30:36,West,1,10.5
2026-08-22 15:30:50,North,5,12.6
2026-08-22 15:31:05,East,6,13.0
2026-08-22 15:31:20,South,5,12.5
2026-08-22 15:31:32,West,1,10.5
2026-08-22 15:31:47,North,5,12.5
2026-08-22 15:32:02,East,5,12.5
2026-08-22 15:32:15,South,3,11.5
2026-08-22 15:32:28,West,1,10.5
2026-08-22 15:32:42,North,5,12.5
2026-08-22 15:32:57,East,6,13.0
2026-08-22 15:33:11,South,3,11.5
2026-08-22 15:33:24,West,1,10.5
2026-08-22 15:33:38,North,4,12.0
2026-08-22 15:33:53,East,6,13.0
2026-08-22 15:34:08,South,6,13.0
2026-08-22 15:34:20,West,1,10.5
2026-08-22 15:34:34,North,3,11.5
2026-08-22 15:34:48,East,5,12.5
2026-08-22 15:35:02,South,4,12.1
2026-08-22 15:35:15,West,1,10.5
2026-08-22 15:35:30,North,6,13.0
2026-08-22 15:35:45,East,6,13.0
2026-08-22 15:36:00,South,5,12.5
2026-08-22 15:36:13,West,2,11.0
2026-08-22 15:36:27,North,5,12.6
2026-08-22 15:36:42,East,5,12.5
2026-08-22 15:36:55,South,3,11.5
2026-08-22 15:37:08,West,1,10.5
2026-08-22 15:37:22,North,3,11.5
2026-08-22 15:37:36,East,4,12.0
2026-08-22 15:37:50,South,5,12.5
2026-08-22 15:38:03,West,2,11.1
2026-08-22 15:38:15,North,5,9.9
2026-08-22 15:38:30,East,5,12.5
2026-08-22 15:38:44,South,4,12.0
2026-08-22 15:38:56,West,1,10.5
2026-08-22 15:39:10,North,4,12.0
2026-08-22 15:39:25,East,6,13.0
2026-08-22 15:39:40,South,6,13.0
2026-08-22 15:39:53,West,1,10.6
2026-08-22 15:40:07,North,4,12.0
2026-08-22 15:40:22,East,6,13.1
2026-08-22 15:40:37,South,5,12.5
2026-08-22 15:40:49,West,1,10.5
2026-08-22 15:41:01,North,0,9.4
2026-08-22 15:41:13,East,0,10.0
2026-08-22 15:41:27,South,4,12.1
2026-08-22 15:41:40,West,2,11.0
2026-08-22 15:41:54,North,4,12.0
2026-08-22 15:42:10,East,7,13.6
2026-08-22 15:42:24,South,5,12.6
2026-08-22 15:45:49,West,1,202.5
2026-08-22 15:46:25,North,48,34.0
2026-08-22 15:46:40,East,5,12.6
2026-08-22 15:46:55,South,6,13.0
2026-08-22 15:47:08,West,2,11.1
2026-08-22 15:47:23,North,6,13.1
2026-08-22 15:47:38,East,5,12.6
2026-08-22 15:47:53,South,6,13.1
2026-08-22 15:48:06,West,2,11.2
2026-08-22 15:48:21,North,6,13.0
2026-08-22 15:48:35,East,5,12.5
2026-08-22 15:48:50,South,5,12.5
2026-08-22 15:50:48,West,1,116.3
2026-08-22 15:51:03,North,6,13.1
2026-08-22 15:51:18,East,4,12.0
2026-08-22 15:51:31,South,3,11.6
2026-08-22 15:51:44,West,1,10.5
2026-08-22 15:51:59,North,6,13.0
2026-08-22 15:52:12,East,3,11.5
2026-08-22 15:52:26,South,4,12.0
2026-08-22 15:52:39,West,1,10.5
2026-08-22 15:52:53,North,4,12.0
2026-08-22 15:53:08,East,6,13.0
2026-08-22 15:53:22,South,3,11.5
2026-08-22 15:53:35,West,2,11.0
2026-08-22 15:53:49,North,5,12.5
2026-08-22 15:54:03,East,4,12.0
2026-08-22 15:54:18,South,6,13.1
2026-08-22 15:54:31,West,1,10.5
2026-08-22 15:54:46,North,6,13.1
2026-08-22 15:55:00,East,3,11.5
2026-08-22 15:55:13,South,3,11.5
2026-08-22 15:58:10,West,2,174.5
2026-08-22 15:58:24,North,4,12.0
2026-08-22 15:58:38,East,5,12.5
2026-08-22 15:58:53,South,6,13.1
2026-08-22 15:59:07,West,2,11.1
2026-08-22 15:59:22,North,6,13.1
2026-08-22 15:59:37,East,6,13.0
2026-08-22 15:59:51,South,5,12.5
2026-08-22 16:00:05,West,2,11.1
2026-08-22 16:00:19,North,4,12.0
2026-08-22 16:00:33,East,5,12.5
2026-08-22 16:00:49,South,7,13.6
2026-08-22 16:01:01,West,1,10.5
2026-08-22 16:01:16,North,6,13.0
2026-08-22 16:01:31,East,5,12.5
2026-08-22 16:01:45,South,3,11.5
2026-08-22 16:01:57,West,1,10.6
2026-08-22 16:02:12,North,5,12.5
2026-08-22 16:02:25,East,3,11.5
2026-08-22 16:02:40,South,6,13.0
2026-08-22 16:02:53,West,1,10.5
2026-08-22 16:03:07,North,4,12.0
2026-08-22 16:03:21,East,4,12.0
2026-08-22 16:03:34,South,2,11.0
2026-08-22 16:03:47,West,2,11.0
2026-08-22 16:04:01,North,4,12.0
2026-08-22 16:04:16,East,6,13.0
2026-08-22 16:04:31,South,5,12.6
2026-08-22 16:04:44,West,2,11.1
2026-08-22 16:04:59,North,6,13.0
2026-08-22 16:05:13,East,4,12.1
2026-08-22 16:05:27,South,3,11.6
2026-08-22 16:05:40,West,2,11.1
2026-08-22 16:05:54,North,4,12.0
2026-08-22 16:06:08,East,4,12.0
2026-08-22 16:06:22,South,4,12.0
2026-08-22 16:06:35,West,1,10.5
2026-08-22 16:06:49,North,5,12.6
2026-08-22 16:07:03,East,4,12.0
2026-08-22 16:07:18,South,4,12.0
2026-08-22 16:07:31,West,2,11.0
2026-08-22 16:07:45,North,5,12.5
2026-08-22 16:07:59,East,4,12.1
2026-08-22 16:08:14,South,5,12.5
2026-08-22 16:08:27,West,2,11.0
2026-08-22 16:08:42,North,6,13.1
2026-08-22 16:08:56,East,4,12.0
2026-08-22 16:09:10,South,4,12.0
2026-08-22 16:09:23,West,2,11.1
2026-08-22 16:09:38,North,5,12.5
2026-08-22 16:09:52,East,4,12.0
2026-08-22 16:10:06,South,4,12.0
2026-08-22 16:10:19,West,2,11.1
2026-08-22 16:10:34,North,6,13.1
2026-08-22 16:10:48,East,4,12.1
2026-08-22 16:11:03,South,4,12.0
2026-08-22 16:11:15,West,1,10.6
2026-08-22 16:11:30,North,6,13.0
2026-08-22 16:11:44,East,4,12.0
2026-08-22 16:11:58,South,3,11.6
2026-08-22 16:12:11,West,2,11.0
2026-08-22 16:12:26,North,6,13.0
2026-08-22 16:12:41,East,5,12.5
2026-08-22 16:12:55,South,4,12.0
2026-08-22 16:13:08,West,2,11.1
2026-08-22 16:13:22,North,5,12.5
2026-08-22 16:13:36,East,4,12.1
2026-08-22 16:13:51,South,5,12.5
2026-08-22 16:14:04,West,1,10.6
2026-08-22 16:14:18,North,5,12.5
2026-08-22 16:14:32,East,4,12.0
2026-08-22 16:14:47,South,6,13.0
2026-08-22 16:15:00,West,2,11.0
2026-08-22 16:15:15,North,5,12.5
2026-08-22 16:15:29,East,3,11.5
2026-08-22 16:15:43,South,6,13.0
2026-08-22 16:15:57,West,2,11.1
2026-08-22 16:16:11,North,5,12.5
2026-08-22 16:16:26,East,5,12.6
2026-08-22 16:16:40,South,4,12.1
2026-08-22 16:16:53,West,2,11.0
2026-08-22 16:17:08,North,6,13.2
2026-08-22 16:17:22,East,4,12.1
2026-08-22 16:17:36,South,3,11.6
2026-08-22 16:17:49,West,1,10.6
2026-08-22 16:18:04,North,7,13.5
2026-08-22 16:18:18,East,4,12.0
2026-08-22 16:18:33,South,5,12.5
2026-08-22 16:18:46,West,2,11.1
2026-08-22 16:19:01,North,6,13.1
2026-08-22 16:19:15,East,3,11.6
2026-08-22 16:19:29,South,5,12.5
2026-08-22 16:19:42,West,1,10.5
2026-08-22 16:19:57,North,6,13.0
2026-08-22 16:20:11,East,4,12.0
2026-08-22 16:20:25,South,4,12.0
2026-08-22 16:20:38,West,1,10.6
2026-08-22 16:20:53,North,5,12.5
2026-08-22 16:21:07,East,5,12.6
2026-08-22 16:21:21,South,4,12.0
2026-08-22 16:21:34,West,1,10.5
2026-08-22 16:21:48,North,5,12.6
2026-08-22 16:22:03,East,6,13.0
2026-08-22 16:22:18,South,4,12.1
2026-08-22 16:22:31,West,2,11.1
2026-08-22 16:22:45,North,5,12.5
2026-08-22 16:22:59,East,4,12.1
2026-08-22 16:23:14,South,4,12.1
2026-08-22 16:23:26,West,1,10.5
2026-08-22 16:23:41,North,6,13.0
2026-08-22 16:23:55,East,4,12.0
2026-08-22 16:24:09,South,4,12.0
2026-08-22 16:24:22,West,2,11.0
2026-08-22 16:24:37,North,5,12.6
2026-08-22 16:24:51,East,3,11.5
2026-08-22 16:25:05,South,4,12.0
2026-08-22 16:25:17,West,1,10.5
2026-08-22 16:25:32,North,5,12.6
2026-08-22 16:25:46,East,4,12.0
2026-08-22 16:26:00,South,4,12.1
2026-08-22 16:26:13,West,2,11.0
2026-08-22 16:26:29,North,6,13.1
2026-08-22 16:26:42,East,3,11.5
2026-08-22 16:26:57,South,5,12.5
2026-08-22 16:27:10,West,2,11.0
2026-08-22 16:27:25,North,6,13.1
2026-08-22 16:27:38,East,3,11.5
2026-08-22 16:27:53,South,5,12.6
2026-08-22 16:28:06,West,1,10.6
2026-08-22 16:28:21,North,7,13.5
2026-08-22 16:28:35,East,4,12.0
2026-08-22 16:28:49,South,4,12.1
2026-08-22 16:29:02,West,1,10.5
2026-08-22 16:29:18,North,7,13.6
2026-08-22 16:32:45,East,4,205.7
2026-08-22 16:32:59,South,4,12.1
2026-08-22 16:33:13,West,2,11.1
2026-08-22 16:33:29,North,8,14.0
2026-08-22 16:33:44,East,7,13.5
2026-08-22 16:33:58,South,4,12.0
2026-08-22 16:34:11,West,2,11.0
2026-08-22 16:34:26,North,5,12.5
2026-08-22 16:34:41,East,5,12.5
2026-08-22 16:34:54,South,3,11.5
2026-08-22 16:35:07,West,1,10.5
2026-08-22 16:35:22,North,6,13.1
2026-08-22 16:35:36,East,4,12.0
2026-08-22 16:35:50,South,4,12.0
2026-08-22 16:36:03,West,1,10.5
2026-08-22 16:36:18,North,7,13.6
2026-08-22 16:36:32,East,4,12.0
2026-08-22 16:36:46,South,4,12.1
2026-08-22 16:36:59,West,2,11.0
2026-08-22 16:37:14,North,5,12.6
2026-08-22 16:37:28,East,4,12.0
2026-08-22 16:37:43,South,6,13.0
2026-08-22 16:37:56,West,2,11.0
2026-08-22 16:38:12,North,7,13.5
2026-08-22 16:38:26,East,5,12.5
2026-08-22 16:38:41,South,5,12.5
2026-08-22 16:38:53,West,1,10.6
2026-08-22 16:39:08,North,5,12.5
2026-08-22 16:39:22,East,4,12.0
2026-08-22 16:39:36,South,4,12.0
2026-08-22 16:39:49,West,1,10.5
2026-08-22 16:40:04,North,6,13.0
2026-08-22 16:40:18,East,5,12.5
2026-08-22 16:40:32,South,4,12.0
2026-08-22 16:40:45,West,2,11.0
2026-08-22 16:41:00,North,6,13.0
2026-08-22 16:41:14,East,4,12.0
2026-08-22 16:41:28,South,3,11.5
2026-08-22 16:41:40,West,1,10.6
2026-08-22 16:41:55,North,4,12.1
2026-08-22 16:42:09,East,4,12.0
2026-08-22 16:42:23,South,5,12.5
2026-08-22 16:42:36,West,1,10.5
2026-08-22 16:42:50,North,5,12.5
2026-08-22 16:43:05,East,5,12.5
2026-08-22 16:43:19,South,4,12.0
2026-08-22 16:43:31,West,1,10.5
2026-08-22 16:43:47,North,7,13.5
2026-08-22 16:44:02,East,5,12.5
2026-08-22 16:44:16,South,4,12.1
2026-08-22 16:44:29,West,2,11.0
2026-08-22 16:44:43,North,5,12.5
2026-08-22 16:44:57,East,3,11.6
2026-08-22 16:45:11,South,5,12.5
2026-08-22 16:45:24,West,2,11.0
2026-08-22 16:45:39,North,5,12.5
2026-08-22 16:45:54,East,5,12.6
2026-08-22 16:46:09,South,6,13.0
2026-08-22 16:46:21,West,1,10.5
2026-08-22 16:46:36,North,6,13.0
2026-08-22 16:46:50,East,4,12.0
2026-08-22 16:47:05,South,5,12.5
2026-08-22 16:47:17,West,1,10.5
2026-08-22 16:47:32,North,5,12.5
2026-08-22 16:47:46,East,4,12.0
2026-08-22 16:48:00,South,4,12.0
2026-08-22 16:48:12,West,1,10.5
2026-08-22 16:48:28,North,6,13.0
2026-08-22 16:48:43,East,6,13.0
2026-08-22 16:48:58,South,6,13.0
2026-08-22 16:49:11,West,2,11.0
2026-08-22 16:49:26,North,6,13.1
2026-08-22 16:49:41,East,6,13.0
2026-08-22 16:49:54,South,3,11.5
2026-08-22 16:50:07,West,1,10.6
2026-08-22 16:50:22,North,6,13.0
2026-08-22 16:50:37,East,5,12.5
2026-08-22 16:50:51,South,5,12.6
2026-08-22 16:51:04,West,2,11.0
2026-08-22 16:51:20,North,8,14.0
2026-08-22 16:51:35,East,6,13.0
2026-08-22 16:51:50,South,5,12.5
2026-08-22 16:52:03,West,1,10.5
2026-08-22 16:52:17,North,4,12.0
2026-08-22 16:52:30,East,2,11.0
2026-08-22 16:52:45,South,6,13.0
2026-08-22 16:52:57,West,1,10.6
2026-08-22 16:53:12,North,6,13.0
2026-08-22 16:53:26,East,4,12.0
2026-08-22 16:53:41,South,5,12.5
2026-08-22 16:53:54,West,2,11.0
2026-08-22 16:54:08,North,4,12.0
2026-08-22 16:54:22,East,4,12.0
2026-08-22 16:54:36,South,4,12.1
2026-08-22 16:54:49,West,1,10.6
2026-08-22 16:55:03,North,4,12.0
2026-08-22 16:55:17,East,4,12.1
2026-08-22 16:55:32,South,5,12.6
2026-08-22 16:55:44,West,1,10.5
2026-08-22 16:55:59,North,5,12.5
